head,relation,tail
祝我幸福,包含意象,[]
祝我幸福,核心情感,"['缺憾', '眷恋']"
祝我幸福,风格标签,"['叙事抒情', '口语化']"
祝我幸福,歌曲主题,['爱情']
杨乃文,演唱,祝我幸福
推开世界的门,包含意象,"['泥', '花衣裳']"
推开世界的门,核心情感,"['深情回望', '渴求和解']"
推开世界的门,风格标签,"['民谣叙事', '意象象征']"
推开世界的门,歌曲主题,['成长']
杨乃文,演唱,推开世界的门
日落西沉,包含意象,"['候鸟', '洋流', '流星']"
日落西沉,核心情感,"['释然超脱', '沉静决绝']"
日落西沉,风格标签,"['画面白描', '明确比喻', '内省独白']"
日落西沉,歌曲主题,['爱情']
杨乃文,演唱,日落西沉
女爵,包含意象,"['国境', '城池围墙', '外衣', '王位', '宝座', '女爵']"
女爵,核心情感,"['孤绝的奉献', '权力虚无', '冷寂的炽热']"
女爵,风格标签,"['铺排与复沓', '隐喻体系', '戏剧独白']"
女爵,歌曲主题,['爱情']
杨乃文,演唱,女爵
分开,包含意象,"['伞', '早餐']"
分开,核心情感,"['迷惘', '眷恋']"
分开,风格标签,"['内心剖析', '直白设问']"
分开,歌曲主题,['爱情']
杨乃文,演唱,分开
懂还是不懂,包含意象,[]
懂还是不懂,核心情感,['困惑疏离']
懂还是不懂,风格标签,['重复递进']
懂还是不懂,歌曲主题,['自我认知']
杨乃文,演唱,懂还是不懂
转身,包含意象,"['金币', '名利场', '追光', '明星脸']"
转身,核心情感,"['疏离审视', '冷峻洞悉']"
转身,风格标签,"['排比长句', '社会隐喻笔法', '内心独白式']"
转身,歌曲主题,['人生哲思']
杨乃文,演唱,转身
你就是吃定我,包含意象,[]
你就是吃定我,核心情感,"['清醒的沉沦', '哀怨']"
你就是吃定我,风格标签,"['第二人称直述', '递进式控诉', '直白倾诉']"
你就是吃定我,歌曲主题,['爱情']
杨乃文,演唱,你就是吃定我
不要告别,包含意象,"['香烟', '峰巅']"
不要告别,核心情感,"['沉郁恳求', '虚无疲惫']"
不要告别,风格标签,['浓烈意象']
不要告别,歌曲主题,['离别']
杨乃文,演唱,不要告别
如一,包含意象,[]
如一,核心情感,"['矛盾统一', '超然辩证']"
如一,风格标签,"['对仗排比', '哲学思辨']"
如一,歌曲主题,['人生哲思']
杨乃文,演唱,如一
离心力,包含意象,['星尘']
离心力,核心情感,"['矛盾', '宿命感', '克制']"
离心力,风格标签,"['物理隐喻', '抽象比喻']"
离心力,歌曲主题,['爱情']
杨乃文,演唱,离心力
静止,包含意象,[]
静止,核心情感,"['倦怠', '虚无', '疏离']"
静止,风格标签,"['直白叙述', '生活化比喻']"
静止,歌曲主题,['内心感受']
杨乃文,演唱,静止
贵族的挽歌,包含意象,"['冥河', '挽歌', '荒野', '血']"
贵族的挽歌,核心情感,"['痛感宣泄', '颓废抗争']"
贵族的挽歌,风格标签,"['暗黑美学', '仪式化重复']"
贵族的挽歌,歌曲主题,['生命']
杨乃文,演唱,贵族的挽歌
不得不,包含意象,"['钢筋', '水泥', '花生米']"
不得不,核心情感,"['矛盾决绝', '自我警醒', '疏离审视']"
不得不,风格标签,"['非常规隐喻', '结构重复', '直白宣言']"
不得不,歌曲主题,['爱情']
杨乃文,演唱,不得不
未接来电,包含意象,"['信纸', '收音机', '钢琴']"
未接来电,核心情感,"['隐忍的悲伤', '克制的遗憾']"
未接来电,风格标签,"['复沓咏叹', '意象化抒情', '氛围营造']"
未接来电,歌曲主题,['爱情']
杨乃文,演唱,未接来电
悔过书,包含意象,[]
悔过书,核心情感,"['自责', '矛盾']"
悔过书,风格标签,['内省风格']
悔过书,歌曲主题,['自省']
杨乃文,演唱,悔过书
粉笔做的手,包含意象,['粉笔做的手']
粉笔做的手,核心情感,"['疏离感', '清醒沉沦']"
粉笔做的手,风格标签,"['句式复沓', '意象化表达']"
粉笔做的手,歌曲主题,['人生感悟']
杨乃文,演唱,粉笔做的手
漂着,包含意象,['过期的啤酒']
漂着,核心情感,"['情感钝化', '疏离倦怠']"
漂着,风格标签,['重复铺陈']
漂着,歌曲主题,['爱情']
杨乃文,演唱,漂着
我给的爱,包含意象,['烟蒂']
我给的爱,核心情感,"['孤寂', '无奈']"
我给的爱,风格标签,['反复修辞']
我给的爱,歌曲主题,['爱情']
杨乃文,演唱,我给的爱
一半的孤独,包含意象,[]
一半的孤独,核心情感,"['残缺孤独', '沉溺自欺']"
一半的孤独,风格标签,"['矛盾修辞', '排比重复', '内心独白']"
一半的孤独,歌曲主题,['情感内省']
杨乃文,演唱,一半的孤独
我从来不懂你的幽默,包含意象,"['小丑', '噩梦', '眼神']"
我从来不懂你的幽默,核心情感,"['疏离感', '拒绝共鸣']"
我从来不懂你的幽默,风格标签,"['复沓强调', '直白独白', '决绝口气']"
我从来不懂你的幽默,歌曲主题,['人际关系']
杨乃文,演唱,我从来不懂你的幽默
野蛮,包含意象,[]
野蛮,核心情感,"['疏离感', '冷峻', '自持', '决绝']"
野蛮,风格标签,"['简洁冷冽', '内在冲突', '冷调氛围']"
野蛮,歌曲主题,['分手']
杨乃文,演唱,野蛮
星星堆满天,包含意象,"['星星', '月圆']"
星星堆满天,核心情感,"['偏执沉溺', '矛盾无奈']"
星星堆满天,风格标签,"['口语直白', '复沓结构']"
星星堆满天,歌曲主题,['爱情']
杨乃文,演唱,星星堆满天
明天,包含意象,[]
明天,核心情感,"['存在主义彷徨', '挽歌式哀叹']"
明天,风格标签,"['复沓咏叹', '口语化思辨', '存在主义追问']"
明天,歌曲主题,['生命沉思']
杨乃文,演唱,明天
思绪的尽头,包含意象,"['巷', '笔']"
思绪的尽头,核心情感,"['疏离淡漠', '虚无哲思']"
思绪的尽头,风格标签,"['重复铺陈', '冷冽抽象']"
思绪的尽头,歌曲主题,['内在探索']
杨乃文,演唱,思绪的尽头
爱我自己,包含意象,"['毛线', '照片']"
爱我自己,核心情感,['果敢自爱']
爱我自己,风格标签,['具象象征']
爱我自己,歌曲主题,['自我成长']
杨乃文,演唱,爱我自己
释怀,包含意象,"['地狱', '天空', '尘埃']"
释怀,核心情感,"['复杂自省', '宁静接纳']"
释怀,风格标签,"['对比手法', '哲理思辨']"
释怀,歌曲主题,['成人情感']
杨乃文,演唱,释怀
Silence,包含意象,[]
Silence,核心情感,"['孤绝自毁', '困兽之斗']"
Silence,风格标签,"['直白呐喊', '词眼重复']"
Silence,歌曲主题,['关系挣扎']
杨乃文,演唱,Silence
小心我撒野,包含意象,[]
小心我撒野,核心情感,"['压抑蓄积', '决绝爆发']"
小心我撒野,风格标签,"['排比递进', '直白警告']"
小心我撒野,歌曲主题,['关系警告']
杨乃文,演唱,小心我撒野
Flow,包含意象,['霓虹']
Flow,核心情感,"['迷茫追寻', '释然超脱']"
Flow,风格标签,"['意象对比', '重复结构', '简约抽象']"
Flow,歌曲主题,['自我追寻']
杨乃文,演唱,Flow
堕落,包含意象,[]
堕落,核心情感,"['沉溺', '颓废的自省']"
堕落,风格标签,"['内心独白', '口语化倾诉']"
堕落,歌曲主题,['爱情']
杨乃文,演唱,堕落
证据,包含意象,"['红酒', '双鱼', '天蝎', '漩涡', '黑洞']"
证据,核心情感,"['幽愤', '反讽', '冷峻']"
证据,风格标签,"['直白宣泄', '超现实比喻', '戏剧独白']"
证据,歌曲主题,['爱情']
杨乃文,演唱,证据
我离开我自己,包含意象,"['灰烬', '烟', '倦鸟']"
我离开我自己,核心情感,"['决绝疏离', '冷寂自省']"
我离开我自己,风格标签,"['隐喻象征', '冷峻笔触', '凝练克制']"
我离开我自己,歌曲主题,['内心独白']
杨乃文,演唱,我离开我自己
如今,包含意象,"['防空洞', '台灯']"
如今,核心情感,"['沉溺性哀伤', '无力感']"
如今,风格标签,"['结构工整', '隐喻性语言']"
如今,歌曲主题,['怀旧']
杨乃文,演唱,如今
不再,包含意象,['路口']
不再,核心情感,"['疏离', '释然']"
不再,风格标签,"['结构复沓', '口语化哲思']"
不再,歌曲主题,['爱情']
杨乃文,演唱,不再
鹦鹉,包含意象,['鹦鹉']
鹦鹉,核心情感,['疏离的清醒']
鹦鹉,风格标签,"['比喻修辞', '直白批判']"
鹦鹉,歌曲主题,['爱情']
杨乃文,演唱,鹦鹉
Queen,包含意象,"['烟火', '国王', '新衣', '皇后', '小人国']"
Queen,核心情感,"['冷峻自持', '讥诮决绝', '怨愤控诉']"
Queen,风格标签,"['隐喻讽刺', '直白宣泄', '第二人称叙事']"
Queen,歌曲主题,['女性宣言']
杨乃文,演唱,Queen
说不出口,包含意象,[]
说不出口,核心情感,"['释然', '决绝', '憧憬']"
说不出口,风格标签,"['排比修辞', '意象化']"
说不出口,歌曲主题,['个人成长']
杨乃文,演唱,说不出口
伤心地狱芳花引魂,包含意象,"['孽镜台', '大铁围山', '无间地狱', '火烧狱城', '北阴酆都', '十殿阎君', '乌白无常', '阿修罗']"
伤心地狱芳花引魂,核心情感,"['绝望悲悯', '孤绝承担']"
伤心地狱芳花引魂,风格标签,"['宗教意象', '阴郁叙事']"
伤心地狱芳花引魂,歌曲主题,['灵魂主题']
珂拉琪,演唱,伤心地狱芳花引魂
葬予规路火烌犹在,包含意象,"['铳', '涂跤', '鬼使火神', '过路阴司', '桥']"
葬予规路火烌犹在,核心情感,"['绝望', '悲愤', '决绝']"
葬予规路火烌犹在,风格标签,"['闽南语文言融合', '神话寓言叙事']"
葬予规路火烌犹在,歌曲主题,['社会议题']
珂拉琪,演唱,葬予规路火烌犹在
万千花蕊慈母悲哀,包含意象,"['西北雨', '窗外的衫', '一支雨伞', '电火', '无欲转来的人', '旗仔', '香']"
万千花蕊慈母悲哀,核心情感,"['悲怆', '哀恸', '痴守', '牵念']"
万千花蕊慈母悲哀,风格标签,"['方言创作', '超现实意象', '私密叙事']"
万千花蕊慈母悲哀,歌曲主题,['时代创伤']
珂拉琪,演唱,万千花蕊慈母悲哀
这该死的拘执佮爱,包含意象,"['血', '纸', '落水的人']"
这该死的拘执佮爱,核心情感,"['单向执念', '无望固守']"
这该死的拘执佮爱,风格标签,"['闽南语作词', '生死隐喻', '意象化表达']"
这该死的拘执佮爱,歌曲主题,['爱情']
珂拉琪,演唱,这该死的拘执佮爱
许和平,包含意象,"['树叶飘摇', '偷岁月的贼', '白发']"
许和平,核心情感,"['温情牵挂', '坦然面对']"
许和平,风格标签,"['复沓手法', '对话体']"
许和平,歌曲主题,['亲情']
许钧,演唱,许和平
筛子浪,包含意象,"['船帆', '桅杆', '种子', '信', '石头', '时钟']"
筛子浪,核心情感,"['澄明', '旷达', '内省']"
筛子浪,风格标签,"['凝练诗性', '航海意象', '复沓递进']"
筛子浪,歌曲主题,['成长感悟']
许钧,演唱,筛子浪
自己,包含意象,"['面包', '手臂']"
自己,核心情感,"['自励', '内省']"
自己,风格标签,"['人生指南体', '哲理劝诫']"
自己,歌曲主题,['自我成长']
许钧,演唱,自己
果实,包含意象,"['果实', '叶子', '阳光', '名字', '孔洞']"
果实,核心情感,"['沉溺', '内省', '克制的哀伤']"
果实,风格标签,"['生活化比喻', '私语感', '超现实意象', '复沓结构']"
果实,歌曲主题,['人生感悟']
许钧,演唱,果实
方法论,包含意象,[]
方法论,核心情感,"['颓唐', '无力感', '自嘲']"
方法论,风格标签,"['重复咏叹', '口语直白', '简洁叙事']"
方法论,歌曲主题,['人生感悟']
许钧,演唱,方法论
Feathers,包含意象,"['feathers', 'leaf', 'seed', 'patterns']"
Feathers,核心情感,"['超然', '释然']"
Feathers,风格标签,"['比喻丰富', '结构复沓']"
Feathers,歌曲主题,['成长']
许钧,演唱,Feathers
期待集,包含意象,[]
期待集,核心情感,"['沉静审视', '矛盾张力']"
期待集,风格标签,"['极简主义', '并列结构', '口语重复']"
期待集,歌曲主题,['生活哲思']
许钧,演唱,期待集
只有一个办法,包含意象,[]
只有一个办法,核心情感,['困顿执着']
只有一个办法,风格标签,"['强调重复', '白描直叙', '循环结构']"
只有一个办法,歌曲主题,['人生处境']
许钧,演唱,只有一个办法
问题,包含意象,['泡沫']
问题,核心情感,"['成长的幻灭', '倦怠感']"
问题,风格标签,"['回环复沓', '自白体']"
问题,歌曲主题,['成长']
许钧,演唱,问题
29,包含意象,"['山川', '灯火阑珊']"
29,核心情感,"['惘然', '郁结']"
29,风格标签,['自述体']
29,歌曲主题,['自我对话']
许钧,演唱,29
Hero,包含意象,"['皮衣', '甲板', '海鸥', '拳头']"
Hero,核心情感,"['孤勇', '笃定', '昂扬']"
Hero,风格标签,"['中英交织', '宣言体', '意象叙事']"
Hero,歌曲主题,['励志']
许钧,演唱,Hero
中了爱情一枪,包含意象,['血泊']
中了爱情一枪,核心情感,"['伤痛后的决绝', '释然的献祭']"
中了爱情一枪,风格标签,"['意象对抗', '内心叙事诗', '仪式性重复']"
中了爱情一枪,歌曲主题,['爱情']
许钧,演唱,中了爱情一枪
乐队,包含意象,"['钢琴', '四分音符', '贝斯', '汗毛', '发丝', '吉他', '合成器', '路边']"
乐队,核心情感,"['疲惫坚守', '苦中作庆', '短暂欢愉']"
乐队,风格标签,"['行业术语叙事', '结构复沓', '身体细节描写']"
乐队,歌曲主题,['伙伴情谊']
许钧,演唱,乐队
歌一切,包含意象,[]
歌一切,核心情感,['超然观照']
歌一切,风格标签,"['前缀重复', '抽象咏叹']"
歌一切,歌曲主题,['生命咏叹']
许钧,演唱,歌一切
疯子,包含意象,"['6平方小屋', '山川湖海', '高山']"
疯子,核心情感,"['疏离与自嘲', '释然与追寻', '激越与抗争']"
疯子,风格标签,"['叙事性作词', '超现实意象', '中英文穿插']"
疯子,歌曲主题,['社会认知']
许钧,演唱,疯子
风筝,包含意象,[]
风筝,核心情感,['深情洒脱']
风筝,风格标签,['比喻自白']
风筝,歌曲主题,['自我表达']
许钧,演唱,风筝
万松岭的嬉皮士,包含意象,['灯火']
万松岭的嬉皮士,核心情感,"['坚韧憧憬', '集体欢腾']"
万松岭的嬉皮士,风格标签,"['结构复沓', '宣言式表达', '比喻修辞']"
万松岭的嬉皮士,歌曲主题,['理想追求']
许钧,演唱,万松岭的嬉皮士
火车司机,包含意象,"['窗口', '满月', '云海']"
火车司机,核心情感,"['释然', '执着']"
火车司机,风格标签,"['重复强调', '排比递进']"
火车司机,歌曲主题,['人生思考']
许钧,演唱,火车司机
形容你,包含意象,['百亩土地']
形容你,核心情感,"['矛盾爱意', '自我剖析']"
形容你,风格标签,"['对立修辞', '第二人称倾诉', '散文诗结构']"
形容你,歌曲主题,['爱情']
许钧,演唱,形容你
惯,包含意象,"['礁石', '森林']"
惯,核心情感,"['矛盾卑亢', '自毁式奉献']"
惯,风格标签,"['独白体', '密集排比']"
惯,歌曲主题,['爱情']
许钧,演唱,惯
羽毛,包含意象,"['feathers', 'leaf', 'seed']"
羽毛,核心情感,['超脱追寻']
羽毛,风格标签,"['中英双语创作', '复沓句式', '比喻修辞']"
羽毛,歌曲主题,['追寻']
许钧,演唱,羽毛
讯号,包含意象,"['泥沼', '讯号']"
讯号,核心情感,"['信念感', '执着']"
讯号,风格标签,"['对话体', '倾诉式']"
讯号,歌曲主题,['寻找与连接']
许钧,演唱,讯号
只字不提,包含意象,"['河流', '宇宙']"
只字不提,核心情感,"['沉郁', '隐痛']"
只字不提,风格标签,"['意象对仗', '含蓄表达']"
只字不提,歌曲主题,['爱情']
许钧,演唱,只字不提
往后,包含意象,['山川湖海']
往后,核心情感,"['豁达', '释然', '豪情']"
往后,风格标签,"['复沓结构', '哲思咏叹', '简洁口语']"
往后,歌曲主题,['人生感悟']
许钧,演唱,往后
美梦公司,包含意象,[]
美梦公司,核心情感,"['冷峻反讽', '异化疏离']"
美梦公司,风格标签,"['句式工整', '寓言叙事', '冷感笔触']"
美梦公司,歌曲主题,['社会批判']
许钧,演唱,美梦公司
小小城中男孩,包含意象,"['伞', '饼干', '操场', '成绩单', '网吧', '单车']"
小小城中男孩,核心情感,"['怀旧', '释然', '温馨']"
小小城中男孩,风格标签,"['白描写实', '叙事民谣', '采样拼贴']"
小小城中男孩,歌曲主题,['怀旧']
许钧,演唱,小小城中男孩
火箭男孩,包含意象,"['火箭', '飞行帽的鸟', '白皮肤的鼹鼠', '云做的衣服', '短鼻子的大象', '银河', '巨人', '闪电', '天鹅', '海豚', '巨浪']"
火箭男孩,核心情感,"['孤勇', '奇遇', '慰藉']"
火箭男孩,风格标签,"['叠句强调', '意象拼贴', '童话叙事']"
火箭男孩,歌曲主题,['成长']
许钧,演唱,火箭男孩
致己,包含意象,"['舞蹈', '歌唱', '大笑']"
致己,核心情感,"['倔强', '坦诚']"
致己,风格标签,"['直白口语', '复沓强调']"
致己,歌曲主题,['自我']
许钧,演唱,致己
来自世界的晚安,包含意象,"['孩子', '游戏']"
来自世界的晚安,核心情感,"['疲惫劝慰', '黯淡希冀']"
来自世界的晚安,风格标签,"['中英夹杂', '对话絮语']"
来自世界的晚安,歌曲主题,['世代寄语']
许钧,演唱,来自世界的晚安
垂髫,包含意象,[]
垂髫,核心情感,"['怅惘', '慰藉']"
垂髫,风格标签,"['口语化', '重复结构']"
垂髫,歌曲主题,['怀旧']
许钧,演唱,垂髫
烂情,包含意象,['暴雨']
烂情,核心情感,"['沉沦颓唐', '不甘漠然']"
烂情,风格标签,"['私语呢喃', '凝练扭曲']"
烂情,歌曲主题,['爱情']
许钧,演唱,烂情
我们,包含意象,"['海岸', '歌']"
我们,核心情感,"['关怀', '释然', '期许']"
我们,风格标签,"['诗意叙事', '结构复沓']"
我们,歌曲主题,['心灵共鸣']
魏如萱,演唱,我们
恶口,包含意象,"['培养土', '夏夜晚风']"
恶口,核心情感,"['语言暴力', '讽刺抒情']"
恶口,风格标签,"['矛盾修辞', '语言实验']"
恶口,歌曲主题,['关系议题']
魏如萱,演唱,恶口
四月是适合说谎的日子,包含意象,"['青鸟', '泥巴地', '纹身', '银河']"
四月是适合说谎的日子,核心情感,"['矛盾依存', '沉郁自毁', '病态浪漫']"
四月是适合说谎的日子,风格标签,"['私密对话体', '意象跳跃', '冷峻叙事']"
四月是适合说谎的日子,歌曲主题,['病态关系']
魏如萱,演唱,四月是适合说谎的日子
纸黏土,包含意象,"['青蛙的贵族', '纸黏土', '静物']"
纸黏土,核心情感,"['甘愿', '自足', '笃定']"
纸黏土,风格标签,['意象并置']
纸黏土,歌曲主题,['爱情']
魏如萱,演唱,纸黏土
女人经痛时,包含意象,"['卫生棉', '大姨妈', '肚皮舞']"
女人经痛时,核心情感,"['痛楚', '戏谑']"
女人经痛时,风格标签,"['口语直白', '拟人化', '中英混杂']"
女人经痛时,歌曲主题,['女性体验']
魏如萱,演唱,女人经痛时
你还是你吗,包含意象,"['雨伞', '白头发', '44次的日落', '失眠的城市']"
你还是你吗,核心情感,"['喧嚣怀旧', '无奈感', '自我怀疑', '孤寂']"
你还是你吗,风格标签,"['口语絮语', '精确数字意象', '拟人化']"
你还是你吗,歌曲主题,['怀念']
魏如萱,演唱,你还是你吗
还是要相信爱情啊混蛋们,包含意象,"['废墟', '潜意识', '烈酒', '宠物', '恶魔', '天使', '咒语', '谜']"
还是要相信爱情啊混蛋们,核心情感,"['矛盾审视', '悲观的坚持']"
还是要相信爱情啊混蛋们,风格标签,"['解构主义', '口语化呼唤']"
还是要相信爱情啊混蛋们,歌曲主题,['爱情']
魏如萱,演唱,还是要相信爱情啊混蛋们
很小很小,包含意象,"['群鸟', '瀑布', '纹理']"
很小很小,核心情感,"['矛盾内耗', '细腻痛苦']"
很小很小,风格标签,"['重复强调', '内省独白']"
很小很小,歌曲主题,['爱情']
魏如萱,演唱,很小很小
三个字,包含意象,['电话号码']
三个字,核心情感,"['疏离', '讽刺']"
三个字,风格标签,['直白叙事']
三个字,歌曲主题,['人际关系']
魏如萱,演唱,三个字
变形金刚,包含意象,"['蟑螂', '关节']"
变形金刚,核心情感,"['坚韧', '奉献']"
变形金刚,风格标签,['比喻修辞']
变形金刚,歌曲主题,['亲情']
魏如萱,演唱,变形金刚
你啊你啊,包含意象,[]
你啊你啊,核心情感,"['隐忍的痛楚', '深情的质问']"
你啊你啊,风格标签,"['方言口语融合', '拟声词吟唱']"
你啊你啊,歌曲主题,['爱情']
魏如萱,演唱,你啊你啊
星期三或礼拜三,包含意象,['帆']
星期三或礼拜三,核心情感,['含蓄确认']
星期三或礼拜三,风格标签,"['星期隐喻', '日常诗化']"
星期三或礼拜三,歌曲主题,['爱情']
魏如萱,演唱,星期三或礼拜三
卖花的人,包含意象,"['硬币', '兜售', '微香', '花火']"
卖花的人,核心情感,"['困顿疏离', '沉静慰藉']"
卖花的人,风格标签,"['叙事白描', '多语交织', '意象拼贴']"
卖花的人,歌曲主题,['职业人生']
魏如萱,演唱,卖花的人
飞鸟,包含意象,"['羽毛', '蝴蝶结', '暮角残光']"
飞鸟,核心情感,"['温柔伤痛', '矛盾依赖']"
飞鸟,风格标签,"['意象比喻', '抒情叙事']"
飞鸟,歌曲主题,['爱情']
魏如萱,演唱,飞鸟
既然不再假装自己不是多愁善感的诗人,包含意象,"['碎玻璃', '铁花', '沾满鲜血的鲜花', '手术刀', '断弦', '末梢神经']"
既然不再假装自己不是多愁善感的诗人,核心情感,"['痛觉复苏', '冷峻自省', '决绝疏离']"
既然不再假装自己不是多愁善感的诗人,风格标签,"['暴力意象', '隐喻解构', '锐利白描']"
既然不再假装自己不是多愁善感的诗人,歌曲主题,['自我剖析']
魏如萱,演唱,既然不再假装自己不是多愁善感的诗人
好吗好吗,包含意象,"['汤', '衣服', '路']"
好吗好吗,核心情感,"['眷恋', '慰藉']"
好吗好吗,风格标签,"['口语叙事', '重复铺陈']"
好吗好吗,歌曲主题,['爱情']
魏如萱,演唱,好吗好吗
怪奇的珍珠,包含意象,"['珍珠', '沧海']"
怪奇的珍珠,核心情感,"['痛楚的肯定', '自反性哀伤']"
怪奇的珍珠,风格标签,"['意象解构', '内省独白', '矛盾修辞']"
怪奇的珍珠,歌曲主题,['自我认知']
魏如萱,演唱,怪奇的珍珠
末路狂花,包含意象,"['花', '晚霞', '烟花', '猫']"
末路狂花,核心情感,"['悲壮', '孤傲']"
末路狂花,风格标签,"['隐喻', '自白体', '都市寓言']"
末路狂花,歌曲主题,['个人抗争']
魏如萱,演唱,末路狂花
小鱼,包含意象,[]
小鱼,核心情感,"['温柔哀伤', '含蓄怅惘']"
小鱼,风格标签,"['假设性比喻', '结构复沓']"
小鱼,歌曲主题,['爱情']
魏如萱,演唱,小鱼
好像好像,包含意象,"['烈日的天空', '无人知晓的森林', '落日', '微光', '纯白色的岛屿']"
好像好像,核心情感,"['暧昧犹疑', '压抑悲伤']"
好像好像,风格标签,"['矛盾修辞', '反复咏叹']"
好像好像,歌曲主题,['爱情']
魏如萱,演唱,好像好像
我不是数学家,包含意象,[]
我不是数学家,核心情感,"['困惑', '无奈']"
我不是数学家,风格标签,['数学隐喻']
我不是数学家,歌曲主题,['爱情']
魏如萱,演唱,我不是数学家
HAVE A NICE DAY,包含意象,[]
HAVE A NICE DAY,核心情感,"['苦中作乐', '诙谐自嘲']"
HAVE A NICE DAY,风格标签,"['口语叙事', '中英混用']"
HAVE A NICE DAY,歌曲主题,['生活杂感']
魏如萱,演唱,HAVE A NICE DAY
