head,relation,tail
例如离开,包含意象,[]
例如离开,核心情感,"['情感钝化', '自我疏离']"
例如离开,风格标签,"['排比自省', '矛盾修辞']"
例如离开,歌曲主题,['成长感悟']
魏如萱,演唱,例如离开
奶奶,包含意象,['毛线']
奶奶,核心情感,"['温情', '感恩', '牵挂']"
奶奶,风格标签,"['多语种交织', '口语叙事', '经典引用']"
奶奶,歌曲主题,['亲情']
魏如萱,演唱,奶奶
劣根,包含意象,"['污点', '草稿', '祷告', '胡闹', '画意']"
劣根,核心情感,"['自毁倾向', '病态依恋', '反讽自嘲']"
劣根,风格标签,"['对立修辞', '自我解构']"
劣根,歌曲主题,['爱情']
魏如萱,演唱,劣根
晚安晚安,包含意象,"['猫', '照片', 'mon Chéri', 'bisoux']"
晚安晚安,核心情感,"['夜间怀人', '缱绻惦念']"
晚安晚安,风格标签,"['口语独白', '外语词缀', '复沓结构']"
晚安晚安,歌曲主题,['人际关系']
魏如萱,演唱,晚安晚安
一时,包含意象,"['林黛玉', '爱丽丝']"
一时,核心情感,"['迷惘', '虚无']"
一时,风格标签,"['数字游戏', '意象拼贴']"
一时,歌曲主题,['情感关系']
魏如萱,演唱,一时
美人,包含意象,['荨麻疹']
美人,核心情感,"['坦然接纳', '集体共融']"
美人,风格标签,"['日常哲思', '身体意象']"
美人,歌曲主题,['自我认同']
魏如萱,演唱,美人
陨石,包含意象,"['外星球', '皇后', '沙漠', '心球', '坑洞', '细菌', '毛细孔']"
陨石,核心情感,"['痴迷狂热', '温柔暴烈']"
陨石,风格标签,"['超现实比喻', '科幻抒情']"
陨石,歌曲主题,['爱情']
魏如萱,演唱,陨石
没事不哭,包含意象,"['毛球', '破洞']"
没事不哭,核心情感,"['隐忍压抑', '无奈接受']"
没事不哭,风格标签,"['口语重复', '具象隐喻']"
没事不哭,歌曲主题,['情感疗愈']
魏如萱,演唱,没事不哭
窃笑,包含意象,"['灰暗', '叹息', '吻']"
窃笑,核心情感,"['自嘲', '悲凉']"
窃笑,风格标签,['暗喻叙事']
窃笑,歌曲主题,['爱情']
魏如萱,演唱,窃笑
时间,包含意象,"['琴弦', '韵律', '画面']"
时间,核心情感,"['韶华已逝', '命运无常', '泰然处之']"
时间,风格标签,"['排比修辞', '主词复沓', '拟声吟唱']"
时间,歌曲主题,['时间哲思']
声音玩具,演唱,时间
和那些人一样,包含意象,"['吉他', '河流', '雪山', '冰川']"
和那些人一样,核心情感,"['迷惘', '哲思']"
和那些人一样,风格标签,"['民谣摇滚', '叙事性', '哲理性']"
和那些人一样,歌曲主题,['人生思考']
声音玩具,演唱,和那些人一样
你的城市,包含意象,['剃刀']
你的城市,核心情感,['坚韧的感伤']
你的城市,风格标签,"['文学化比喻', '复沓咏叹']"
你的城市,歌曲主题,['爱情']
声音玩具,演唱,你的城市
没有人能够比我们更接近对方,包含意象,"['鸢尾花', '麦田']"
没有人能够比我们更接近对方,核心情感,['沉静缅怀']
没有人能够比我们更接近对方,风格标签,['叙事意象']
没有人能够比我们更接近对方,歌曲主题,['爱情']
声音玩具,演唱,没有人能够比我们更接近对方
美术课,包含意象,"['画布', '碳粉', '墨砚', '蓝色的蝴蝶']"
美术课,核心情感,"['怅惘怀念', '悲悯美学']"
美术课,风格标签,"['具象写作', '核心意象贯穿', '叙述性']"
美术课,歌曲主题,['成长记忆']
艾怡良,演唱,美术课
抓蝴蝶,包含意象,"['蜘蛛', '蝴蝶', '镜面', '薄荷蓝', '烈酒']"
抓蝴蝶,核心情感,"['迷幻疏离', '挑衅自嘲']"
抓蝴蝶,风格标签,"['镜头语言', '戏剧独白']"
抓蝴蝶,歌曲主题,['角色扮演']
艾怡良,演唱,抓蝴蝶
夜晚出生的小孩,包含意象,"['烟霾', '大火', '鬼魂', '枯树', '指纹']"
夜晚出生的小孩,核心情感,['悲悯超然']
夜晚出生的小孩,风格标签,['超现实叙事']
夜晚出生的小孩,歌曲主题,['心灵成长']
艾怡良,演唱,夜晚出生的小孩
我们的总和,包含意象,"['纸篓', '表格', '铅笔', '小数点']"
我们的总和,核心情感,"['清醒的徒劳', '审慎的无奈']"
我们的总和,风格标签,"['数学隐喻', '内心独白', '凝练自白']"
我们的总和,歌曲主题,['情感关系']
艾怡良,演唱,我们的总和
Waterfall,包含意象,"['树海', '深潭', '水花', '漩涡']"
Waterfall,核心情感,"['悲壮', '超然']"
Waterfall,风格标签,"['密集排比', '对比修辞', '抽象哲思']"
Waterfall,歌曲主题,['人生感悟']
艾怡良,演唱,Waterfall
大人情歌,包含意象,"['香水', '洋装', '臂弯', '枝芽']"
大人情歌,核心情感,"['复杂况味', '执拗无悔']"
大人情歌,风格标签,"['内心独白', '比喻写作', '对唱呼应']"
大人情歌,歌曲主题,['爱情']
艾怡良,演唱,大人情歌
带我去一个阳光普照的岛屿,包含意象,"['岛屿', '潮汐', '贝壳', '糖浆', '五只脚八只手两颗头脑']"
带我去一个阳光普照的岛屿,核心情感,['超脱向往']
带我去一个阳光普照的岛屿,风格标签,"['具象描写', '对话式表达']"
带我去一个阳光普照的岛屿,歌曲主题,['爱情']
艾怡良,演唱,带我去一个阳光普照的岛屿
我不知道爱是什么,包含意象,[]
我不知道爱是什么,核心情感,"['疏离迷茫', '倔强自持']"
我不知道爱是什么,风格标签,"['排比递进', '抽象思辨']"
我不知道爱是什么,歌曲主题,['爱情']
艾怡良,演唱,我不知道爱是什么
Never Be The Same,包含意象,[]
Never Be The Same,核心情感,"['决绝告别', '自我追寻']"
Never Be The Same,风格标签,"['矛盾修辞', '内心独白']"
Never Be The Same,歌曲主题,['自我追寻']
艾怡良,演唱,Never Be The Same
逃生计划,包含意象,"['背', '房间', '钮扣', '体温']"
逃生计划,核心情感,"['决绝逃离', '压抑反抗']"
逃生计划,风格标签,"['私密叙事', '意象变形', '暗喻密集']"
逃生计划,歌曲主题,['逃离']
艾怡良,演唱,逃生计划
Forever Young,包含意象,"['沙漏', '皱纹', '信徒', '骨架', '内脏']"
Forever Young,核心情感,"['纵情不羁', '坦然坚定']"
Forever Young,风格标签,"['矛盾修辞', '意象并置']"
Forever Young,歌曲主题,['人生感悟']
艾怡良,演唱,Forever Young
给朱利安,包含意象,"['画布', '签诗', '涟漪']"
给朱利安,核心情感,"['迷茫追寻', '深陷眷恋']"
给朱利安,风格标签,"['第一人称叙事', '排比复沓', '意象隐喻']"
给朱利安,歌曲主题,['自我探寻']
艾怡良,演唱,给朱利安
Then You Come Along,包含意象,"['晒痕色盘', '盆栽']"
Then You Come Along,核心情感,"['沉溺自省', '矛盾救赎']"
Then You Come Along,风格标签,"['具象隐喻', '重复强调', '文学化用词']"
Then You Come Along,歌曲主题,['爱情']
艾怡良,演唱,Then You Come Along
小黄狗,包含意象,"['割伤', '秘密', '红木', '躺椅', '球']"
小黄狗,核心情感,"['坚韧守候', '悲壮陪伴']"
小黄狗,风格标签,"['拟人化象征', '内心独白']"
小黄狗,歌曲主题,['自我对话']
艾怡良,演唱,小黄狗
爱是这样,包含意象,"['阳光', '海洋']"
爱是这样,核心情感,"['温馨', '感恩', '坚定']"
爱是这样,风格标签,"['比喻手法', '直白叙事']"
爱是这样,歌曲主题,['爱情']
艾怡良,演唱,爱是这样
以灰之名,包含意象,"['车道', '西装', '烟火', '荒原']"
以灰之名,核心情感,"['压抑内省', '疏离自持']"
以灰之名,风格标签,"['排比复沓', '哲思意象']"
以灰之名,歌曲主题,['自我认同']
艾怡良,演唱,以灰之名
寂寞无害,包含意象,[]
寂寞无害,核心情感,"['释然', '自愈']"
寂寞无害,风格标签,"['排比递进', '内心独白']"
寂寞无害,歌曲主题,['爱情']
艾怡良,演唱,寂寞无害
怎么演怎么不像,包含意象,[]
怎么演怎么不像,核心情感,"['忏悔自省', '怀旧伤逝']"
怎么演怎么不像,风格标签,['叙事性自白']
怎么演怎么不像,歌曲主题,['爱情']
艾怡良,演唱,怎么演怎么不像
那时有你,包含意象,[]
那时有你,核心情感,"['怅惘', '沉溺']"
那时有你,风格标签,"['内心独白', '排比句式', '双语交织']"
那时有你,歌曲主题,['爱情']
艾怡良,演唱,那时有你
空头支票,包含意象,"['空头支票', '二手的脑袋', '三等车厢A32', '破旧庞克洋装', '星芒符号']"
空头支票,核心情感,"['愤世嫉俗', '颓唐自嘲']"
空头支票,风格标签,"['意象叙事', '隐喻密集', '冷峻白描', '直白批判']"
空头支票,歌曲主题,['社会反思']
艾怡良,演唱,空头支票
无数个我,包含意象,"['脸孔', '蛹', '沙漠', '深渊', '高楼']"
无数个我,核心情感,"['分裂挣扎', '倔强自省']"
无数个我,风格标签,"['内心戏剧', '新诗化歌词']"
无数个我,歌曲主题,['自我探索']
艾怡良,演唱,无数个我
如果你爱我,包含意象,[]
如果你爱我,核心情感,"['悲恸', '释然']"
如果你爱我,风格标签,"['中英交织', '直白抒情']"
如果你爱我,歌曲主题,['爱情']
艾怡良,演唱,如果你爱我
给她的话,包含意象,"['星辰', '珍珠']"
给她的话,核心情感,"['惘然', '释然', '哲思']"
给她的话,风格标签,"['隐喻象征', '内心独白']"
给她的话,歌曲主题,['人生感悟']
艾怡良,演唱,给她的话
我这个人,包含意象,['旅程']
我这个人,核心情感,"['矛盾自省', '孤独自持']"
我这个人,风格标签,['内心独白']
我这个人,歌曲主题,['自我反思']
艾怡良,演唱,我这个人
说,包含意象,"['飞蛾', '火炬']"
说,核心情感,"['坚定守护', '相互依存', '慰藉与安宁']"
说,风格标签,"['对照式表达', '倾诉体', '工整对仗']"
说,歌曲主题,['爱情']
艾怡良,演唱,说
灭了我,包含意象,['釉']
灭了我,核心情感,['求灭从容']
灭了我,风格标签,"['抽象思辨', '哲学化内省']"
灭了我,歌曲主题,['存在哲思']
艾怡良,演唱,灭了我
早晚,包含意象,[]
早晚,核心情感,"['怅然若失', '迟暮醒悟', '倦怠停滞']"
早晚,风格标签,"['内心独白', '氛围叙事', '现代诗化']"
早晚,歌曲主题,['情感关系']
艾怡良,演唱,早晚
如果从此,包含意象,['地铁']
如果从此,核心情感,"['隐忍', '矛盾']"
如果从此,风格标签,"['比喻', '内心独白']"
如果从此,歌曲主题,['爱情']
艾怡良,演唱,如果从此
祷文-OT：言不由衷,包含意象,['祷文']
祷文-OT：言不由衷,核心情感,"['悲悯', '释怀']"
祷文-OT：言不由衷,风格标签,"['祈祷体', '对立修辞']"
祷文-OT：言不由衷,歌曲主题,['爱情']
艾怡良,演唱,祷文-OT：言不由衷
我多想变成她,包含意象,[]
我多想变成她,核心情感,"['身份焦虑', '渴望认同']"
我多想变成她,风格标签,['文艺笔触']
我多想变成她,歌曲主题,['爱情']
艾怡良,演唱,我多想变成她
别等我回来,包含意象,[]
别等我回来,核心情感,"['决然告别', '释然嘱托']"
别等我回来,风格标签,"['诗意隐喻', '内心独白']"
别等我回来,歌曲主题,['离别']
Hello Nico,演唱,别等我回来
光尘,包含意象,"['钟声', '夏花', '星辰', '图腾', '裂痕', '花纹']"
光尘,核心情感,"['接纳性悲悯', '暗夜共生', '希望韧度']"
光尘,风格标签,"['哲思对仗', '意象层递']"
光尘,歌曲主题,['成长陪伴']
Hello Nico,演唱,光尘
荒芜,包含意象,"['荒芜', '家']"
荒芜,核心情感,"['幻灭感', '存在主义焦虑']"
荒芜,风格标签,"['重复性段落', '内心独白式', '情感直述']"
荒芜,歌曲主题,['存在']
Hello Nico,演唱,荒芜
接下来如何,包含意象,"['毛衣', '木偶', '灰尘', '雕刻']"
接下来如何,核心情感,"['自我厌弃', '矛盾疲惫']"
接下来如何,风格标签,"['内省独白', '比喻意象']"
接下来如何,歌曲主题,['自我剖析']
Hello Nico,演唱,接下来如何
规格化的城市、商品、人,包含意象,"['监狱', '方格']"
规格化的城市、商品、人,核心情感,"['异化感', '集体焦虑']"
规格化的城市、商品、人,风格标签,"['社会寓言', '排比递进']"
规格化的城市、商品、人,歌曲主题,['社会批判']
Hello Nico,演唱,规格化的城市、商品、人
用灵魂交换肌肤之上,包含意象,"['晨雾', '晨露', '荆棘', '灯', '轮廓', '黑白']"
用灵魂交换肌肤之上,核心情感,"['矛盾与撕扯', '自我探寻']"
用灵魂交换肌肤之上,风格标签,"['超现实意象', '存在主义哲思', '冷冽凝练']"
用灵魂交换肌肤之上,歌曲主题,['自我认知']
Hello Nico,演唱,用灵魂交换肌肤之上
陌生的房间陌生的下午,包含意象,"['房间', '下午', '海', '温度']"
陌生的房间陌生的下午,核心情感,"['疏离压抑', '冷峻决绝']"
陌生的房间陌生的下午,风格标签,"['意象叙事', '视角转换', '复沓决断']"
陌生的房间陌生的下午,歌曲主题,['感情决断']
Hello Nico,演唱,陌生的房间陌生的下午
布兰琪,包含意象,"['祭奠的花', '火光']"
布兰琪,核心情感,"['自我毁灭', '深陷绝境']"
布兰琪,风格标签,"['重复咏叹', '叙事性歌词']"
布兰琪,歌曲主题,['人性悲剧']
Hello Nico,演唱,布兰琪
花,包含意象,['衣裳']
花,核心情感,"['懊悔', '疏离感']"
花,风格标签,"['拟人', '内心独白']"
花,歌曲主题,['情感关系']
Hello Nico,演唱,花
哭泣的橄榄树,包含意象,"['伤口', '花香']"
哭泣的橄榄树,核心情感,"['隐忍承受', '悲悯抗争']"
哭泣的橄榄树,风格标签,"['象征主义', '意象对仗']"
哭泣的橄榄树,歌曲主题,['冲突']
Hello Nico,演唱,哭泣的橄榄树
底里歇斯,包含意象,[]
底里歇斯,核心情感,"['迷狂', '解放']"
底里歇斯,风格标签,"['文字游戏', '哲学思辨']"
底里歇斯,歌曲主题,['自我探索']
田馥甄,演唱,底里歇斯
无人知晓,包含意象,['小数点']
无人知晓,核心情感,"['隐忍自卑', '清醒沉沦']"
无人知晓,风格标签,"['比喻新奇', '内心独白']"
无人知晓,歌曲主题,['爱情']
田馥甄,演唱,无人知晓
渺小,包含意象,"['北极熊', '垃圾场', '蝴蝶知更', '黄土灰尘', '诗', '宇宙洪荒']"
渺小,核心情感,"['存在困惑', '谦卑内省']"
渺小,风格标签,"['对比排比', '哲理诗化']"
渺小,歌曲主题,['生命哲思']
田馥甄,演唱,渺小
离岛,包含意象,[]
离岛,核心情感,['自足疏离']
离岛,风格标签,"['隐喻贯穿', '第一人称叙述']"
离岛,歌曲主题,['自我认同']
田馥甄,演唱,离岛
爱着爱着就永远,包含意象,[]
爱着爱着就永远,核心情感,"['彷徨', '期冀', '脆弱感']"
爱着爱着就永远,风格标签,"['结构复沓', '设问推进']"
爱着爱着就永远,歌曲主题,['爱情']
田馥甄,演唱,爱着爱着就永远
日常,包含意象,"['雨', '花', '蝶', '天空', '蓝', '掌声']"
日常,核心情感,"['释然', '达观', '平和']"
日常,风格标签,"['生活化白描', '反复咏叹', '辩证思辨']"
日常,歌曲主题,['生活感悟']
田馥甄,演唱,日常
悬日,包含意象,"['黄昏', '战场', '市集', '手机', '太阳', '悬日']"
悬日,核心情感,"['强颜欢笑', '对峙无果', '挣扎释怀']"
悬日,风格标签,"['隐喻叙事', '对话体抒情']"
悬日,歌曲主题,['爱情']
田馥甄,演唱,悬日
人间烟火,包含意象,['烟火']
人间烟火,核心情感,"['丰盛感恩', '轻盈自足']"
人间烟火,风格标签,"['具象排比', '概念物化']"
人间烟火,歌曲主题,['生活感悟']
田馥甄,演唱,人间烟火
不醉不会,包含意象,"['放大镜', '紫薇', '朦胧诗']"
不醉不会,核心情感,"['超然物外', '玩世不恭']"
不醉不会,风格标签,"['矛盾修辞', '朦胧诗意']"
不醉不会,歌曲主题,['生活哲思']
田馥甄,演唱,不醉不会
念念有词,包含意象,"['金星', '火焰', '同温层', '凌空的闪电', '神秘的弧线', '魔戒', '喉结', '蝴蝶', '箴言']"
念念有词,核心情感,"['神秘主义之渴求', '不确定的期待']"
念念有词,风格标签,"['超现实意象拼贴', '咒语式重复']"
念念有词,歌曲主题,['爱情']
田馥甄,演唱,念念有词
To Hebe,包含意象,"['北极熊', '寒武纪', '王菲']"
To Hebe,核心情感,"['坚定劝诫', '深沉自省']"
To Hebe,风格标签,"['科学隐喻', '哲理叙事']"
To Hebe,歌曲主题,['人生哲思']
田馥甄,演唱,To Hebe
有理想,包含意象,[]
有理想,核心情感,"['自嘲', '倦怠的坚守']"
有理想,风格标签,"['生活流白描', '语言解构', '结构规整']"
有理想,歌曲主题,['理想']
李荣浩,演唱,有理想
不将就,包含意象,[]
不将就,核心情感,['执拗沉溺']
不将就,风格标签,"['对比修辞', '口语化叙事']"
不将就,歌曲主题,['爱情']
李荣浩,演唱,不将就
名字,包含意象,"['焰火', '蜡像', '大海', '满天星斗', '绰号', '刺', '玩偶']"
名字,核心情感,"['克制的哀伤', '怅然若失']"
名字,风格标签,"['意象比喻', '叙事抒情']"
名字,歌曲主题,['爱情']
李荣浩,演唱,名字
获奖人,包含意象,['道别晚餐']
获奖人,核心情感,"['苦涩', '自嘲']"
获奖人,风格标签,['隐喻作词']
获奖人,歌曲主题,['爱情']
李荣浩,演唱,获奖人
黑马,包含意象,"['缰绳', '鞭', '伯乐', '星河']"
黑马,核心情感,['孤傲坚守']
黑马,风格标签,['哲理性叙事']
黑马,歌曲主题,['励志']
李荣浩,演唱,黑马
戒烟,包含意象,['烟']
戒烟,核心情感,"['悔憾', '隐忍']"
戒烟,风格标签,"['口语叙事', '内心独白']"
戒烟,歌曲主题,['爱情']
李荣浩,演唱,戒烟
不搭,包含意象,['后几排']
不搭,核心情感,"['别扭', '疏离感']"
不搭,风格标签,"['生活化口语', '直白叙述']"
不搭,歌曲主题,['爱情']
李荣浩,演唱,不搭
对等关系,包含意象,[]
对等关系,核心情感,"['无奈自省', '理性决断']"
对等关系,风格标签,"['叙事性', '口语化', '内心独白']"
对等关系,歌曲主题,['爱情']
李荣浩,演唱,对等关系
纵横四海,包含意象,['狂蜂的浪蝶']
纵横四海,核心情感,"['疏离自省', '悲壮释然']"
纵横四海,风格标签,"['口语对仗', '哲学复沓']"
纵横四海,歌曲主题,['人生感慨']
李荣浩,演唱,纵横四海
喜剧之王,包含意象,"['猕猴桃', '港产片']"
喜剧之王,核心情感,"['悲怆自嘲', '疏离荒诞']"
喜剧之王,风格标签,"['意象跳跃', '戏剧化隐喻', '夸张自嘲']"
喜剧之王,歌曲主题,['人生讽喻']
李荣浩,演唱,喜剧之王
我们好好的,包含意象,"['衣角', '流星雨', '饭盒', '雨伞']"
我们好好的,核心情感,"['温情', '珍视']"
我们好好的,风格标签,"['生活白描', '呢喃絮语']"
我们好好的,歌曲主题,['爱情']
李荣浩,演唱,我们好好的
年少有为,包含意象,"['电视', '墙板', '粥', '婚礼', '头款', '金钱地位']"
年少有为,核心情感,"['悔憾交加', '自卑自疚']"
年少有为,风格标签,"['白描叙事', '直抒胸臆']"
年少有为,歌曲主题,['爱情']
李荣浩,演唱,年少有为
老友记,包含意象,"['旧朋友', '酒', '富贵', '死地']"
老友记,核心情感,"['幻灭疏离', '隐忍告别']"
老友记,风格标签,"['口语叙事', '对话独白', '今昔对比']"
老友记,歌曲主题,['友情']
李荣浩,演唱,老友记
如果我是海,包含意象,"['苹果树', '海龟', '珊瑚']"
如果我是海,核心情感,"['激昂悲悯', '坚定豁达']"
如果我是海,风格标签,"['超现实主义', '寓言体']"
如果我是海,歌曲主题,['人生感悟']
李荣浩,演唱,如果我是海
另一端,包含意象,['自行车链条']
另一端,核心情感,"['温情缅怀', '隐忍承继']"
另一端,风格标签,"['生活白描', '排比复沓']"
另一端,歌曲主题,['亲情']
李荣浩,演唱,另一端
麻雀,包含意象,"['翅膀', '雪山之巅', '乌云']"
麻雀,核心情感,"['牺牲奉献', '坚韧守望']"
麻雀,风格标签,['比喻象征']
麻雀,歌曲主题,['爱情']
李荣浩,演唱,麻雀
……催眠大师,包含意象,"['骨牌', '石榴', '火酒', '饕餮野兽', '中箭之鹿', '命运之轮']"
……催眠大师,核心情感,"['被操控感', '觉醒反抗']"
……催眠大师,风格标签,"['超现实主义', '戏剧对话体']"
……催眠大师,歌曲主题,['权力控制']
吴青峰,演唱,……催眠大师
太空人,包含意象,"['太空人', '星', '重听']"
太空人,核心情感,"['孤寂', '憾恨', '怀缅']"
太空人,风格标签,"['比喻作词', '结构复沓', '诗意叙事']"
太空人,歌曲主题,['爱情']
吴青峰,演唱,太空人
巴别塔庆典,包含意象,"['咖哩口味', '油', '面具']"
巴别塔庆典,核心情感,"['荒诞', '疏离', '讥诮']"
巴别塔庆典,风格标签,"['寓言化', '戏谑讽刺', '复沓结构']"
巴别塔庆典,歌曲主题,['社会寓言']
吴青峰,演唱,巴别塔庆典
……棕发少女,包含意象,"['鸢尾', '多头蛇', '五色笔', '刀刃', '禁果']"
……棕发少女,核心情感,"['苦修般的执着', '静谧的怅惘']"
……棕发少女,风格标签,"['意象并置', '用典隐喻', '咏叹调式重复']"
……棕发少女,歌曲主题,['艺术追求']
吴青峰,演唱,……棕发少女
男孩庄周,包含意象,"['水仙', '青苔', '蚊子', '高山', '浅井', '青蛙', '秋毫', '玄水', '七窍']"
男孩庄周,核心情感,"['超脱', '释然']"
男孩庄周,风格标签,"['庄子典故', '哲思玄想']"
男孩庄周,歌曲主题,['哲思觉醒']
吴青峰,演唱,男孩庄周
歌颂者,包含意象,"['清浅一条河', '林中回声', '静水流深']"
歌颂者,核心情感,"['慰藉共鸣', '自我确证']"
歌颂者,风格标签,"['第一人称叙事', '哲理对仗']"
歌颂者,歌曲主题,['人生感悟']
吴青峰,演唱,歌颂者
……小王子,包含意象,"['毛虫', '夜莺', '花丛', '沧海桑田']"
……小王子,核心情感,"['内省', '慰藉']"
……小王子,风格标签,['诗意寓言']
……小王子,歌曲主题,['自我探索']
吴青峰,演唱,……小王子
……醉鬼阿Q,包含意象,"['食莲族', '睡莲', '蘑菇', '小破杯', '豌豆', '驴耳朵', '酒鬼', '元宇宙', '精卫', '夸父', '大象', '邓林']"
……醉鬼阿Q,核心情感,['疏离自适']
……醉鬼阿Q,风格标签,['典故隐喻']
……醉鬼阿Q,歌曲主题,['社会反思']
吴青峰,演唱,……醉鬼阿Q
2017，你,包含意象,"['繁星', '光年', '爆炸', '宇宙']"
2017，你,核心情感,"['静观的慰藉', '浩瀚的归属']"
2017，你,风格标签,"['天文意象诗', '私密宇宙观']"
2017，你,歌曲主题,['情感颂歌']
郑宜农,演唱,2017，你
就算我放弃了世界,包含意象,[]
就算我放弃了世界,核心情感,"['依恋', '恳切', '真挚', '释然']"
就算我放弃了世界,风格标签,"['排比呼告', '白描直叙', '内心独白']"
就算我放弃了世界,歌曲主题,['情感关系']
郑宜农,演唱,就算我放弃了世界
如果你也想起来,包含意象,"['小阳台', '豆子', '杯子']"
如果你也想起来,核心情感,"['平和接纳', '深沉期许']"
如果你也想起来,风格标签,"['排比铺陈', '生活叙事', '平实自白']"
如果你也想起来,歌曲主题,['爱情']
郑宜农,演唱,如果你也想起来
